Last Name,First Name,Date of Birth,Gender,Address LGA,State of Origin,Geopolitical Zone,School Type,Schools LGA,Secondary School Living Arrangement,Digital methods in school,Weekly Hours Spent Reading,Mentor,Parents Occupation,Financial status,Future Ambition,Digital literacy,Extra Extracurricular Activities,Do you have a library in your school?,Library visit,Academic Stream,Attendance Rate,Study Habits,Behavioral Condition in School,Learning Environment,Private Tutors,Access to online Learning Platform,Supportive Home Environment,Parental Engagement in School Life,Qualified Teachers,Anxiety Before Exam,Do you understand English,Access to Practice Exams,Past Jamb Score,Credit pass in core five subjects
Akinbode,Funbi,2006-05-13,Female,Ojo,Ekiti,South West,Private,Kosofe,Boarding,Yes,1 hour,Yes,Civil Servant,Middle Income,Doctor,Medium,None,Yes,Rarely,Commerce,10,Occasional,Minor Issues,Poor,No,Yes,No,Disagree,Yes,High,Yes,No,108,Yes
Udofia,Nnamdi,2008-12-16,Male,Surulere,Delta,South West,Public,Mushin,Boarding,No,3 hours,Yes,Engineer,Low Income,Lawyer,Medium,Sports,No,Rarely,Science,9,Occasional,Major Issues,Average,No,No,No,Agree,No,High,Yes,Yes,229,No
Ahmed,Inimfon,2011-05-07,Female,Agege,Taraba,South South,Public,Ikorodu,Boarding,No,10 hours,Yes,Business,Low Income,Lawyer,Low,Music,No,Often,Arts,4,Rarely,Average,Poor,Yes,Yes,Yes,Strongly Disagree,No,High,Yes,Yes,290,No
Ibrahim,Nneka,2010-09-01,Male,Mushin,Rivers,South South,Private,Alimosho,Day,No,32 hours,Yes,Medical Professional,Middle Income,Businessperson,Low,Music,Yes,Often,Commerce,3,Occasional,Good,Poor,No,No,Yes,Agree,No,Medium,No,Yes,284,Yes
Onyeka,Harisu,2009-03-30,Female,Mushin,Osun,South East,Private,Lagos Island,Boarding,No,10 hours,No,Civil Servant,Middle Income,Lawyer,Medium,Sports,Yes,Rarely,Science,3,Rarely,Excellent,Poor,No,No,Yes,Neutral,Yes,Medium,Yes,Yes,109,Yes
Zarami,Ikechukwu,2010-07-03,Male,Shomolu,Ebonyi,South South,Private,Lagos Mainland,Boarding,No,32 hours,No,Business,Low Income,Teacher,Medium,None,Yes,Often,Arts,2,Rarely,Minor Issues,Poor,No,No,Yes,Neutral,No,High,No,No,270,No
Usman,Monisola,2005-11-10,Male,Apapa,Ebonyi,North East,Private,Ikeja,Day,Yes,10 hours,Yes,Teacher,Low Income,Engineer,High,Sports,Yes,Sometimes,Science,1,Rarely,Average,Poor,No,No,Yes,Agree,No,High,No,Yes,244,Yes
Ibiam,Johnson,2005-06-14,Female,Ibeju-Lekki,Gombe,North West,Private,Lagos Mainland,Boarding,No,10 hours,Yes,Civil Servant,High Income,Artist,Low,Music,Yes,Rarely,Science,2,Occasional,Minor Issues,Poor,Yes,Yes,Yes,Neutral,No,Low,No,Yes,250,Yes
Oyeniran,Silas,2005-02-06,Male,Ifako-Ijaye,Katsina,South West,Private,Ajeromi-Ifelodun,Boarding,Yes,32 hours,Yes,Engineer,High Income,Lawyer,Medium,Music,Yes,Sometimes,Commerce,1,Occasional,Minor Issues,Good,No,No,No,Disagree,No,Medium,Yes,Yes,335,Yes
Obi,Bukola,2007-07-13,Female,Ikorodu,Benue,South West,Public,Ikorodu,Day,Yes,5 hours,Yes,Medical Professional,High Income,Lawyer,Medium,Sports,No,Sometimes,Science,3,Occasional,Excellent,Good,No,Yes,No,Strongly Disagree,Yes,High,No,No,240,No
Adeola,Mustapha,2005-06-10,Male,Kosofe,Sokoto,North East,Private,Kosofe,Day,No,3 hours,No,Business,Low Income,Artist,Low,Music,Yes,Rarely,Arts,4,Occasional,Major Issues,Average,No,Yes,Yes,Neutral,No,High,No,No,315,No
Salam,Chukwunonso,2010-12-20,Male,Lagos Mainland,Kogi,North West,Private,Ikorodu,Boarding,No,3 hours,Yes,Civil Servant,Middle Income,Teacher,Medium,None,No,Often,Arts,3,Occasional,Major Issues,Poor,Yes,No,Yes,Strongly Disagree,Yes,High,No,Yes,153,Yes
Taiwo,Oleje,2008-08-06,Male,Lagos Island,Imo,South South,Public,Eti-Osa,Boarding,No,1 hour,Yes,Teacher,High Income,Scientist,High,Drama,No,Rarely,Science,1,Rarely,Major Issues,Poor,No,No,Yes,Disagree,No,High,Yes,Yes,245,No
Arinze,Adeola,2010-06-27,Female,Mushin,Nasarawa,South East,Public,Ifako-Ijaye,Day,Yes,3 hours,No,Engineer,High Income,Scientist,Low,Music,No,Rarely,Science,1,Rarely,Good,Good,Yes,No,Yes,Agree,Yes,High,Yes,Yes,316,Yes
Mohammed,Joseph,2006-01-27,Female,Ajeromi-Ifelodun,Gombe,North West,Private,Agege,Day,Yes,32 hours,Yes,Teacher,Low Income,Doctor,Low,Music,Yes,Rarely,Science,2,Rarely,Minor Issues,Poor,Yes,No,No,Strongly Disagree,No,Low,Yes,Yes,226,Yes
Adebayo,Ternenge,2007-11-30,Male,Ifako-Ijaye,Oyo,North East,Private,Surulere,Boarding,No,3 hours,Yes,Engineer,Middle Income,Lawyer,High,None,No,Rarely,Arts,9,Occasional,Good,Poor,No,Yes,Yes,Strongly Agree,Yes,Low,Yes,No,202,No
Ogunbanjo,Femi,2005-08-24,Female,Shomolu,Jigawa,South South,Public,Amuwo-Odofin,Day,Yes,32 hours,Yes,Civil Servant,High Income,Lawyer,Low,Drama,Yes,Sometimes,Commerce,7,Rarely,Minor Issues,Average,No,No,Yes,Disagree,Yes,Low,Yes,Yes,261,Yes
Igwe,Blessing,2008-05-10,Female,Amuwo-Odofin,Kaduna,South South,Public,Ikeja,Boarding,Yes,1 hour,No,Medical Professional,High Income,Developer,Low,Sports,Yes,Often,Science,8,Rarely,Excellent,Good,Yes,No,No,Strongly Agree,Yes,High,Yes,Yes,217,No
Elaigwu,Ijeoma,2008-10-04,Male,Badagry,Kaduna,South South,Public,Ajeromi-Ifelodun,Boarding,Yes,32 hours,Yes,Medical Professional,Middle Income,Teacher,Low,None,Yes,Sometimes,Arts,7,Occasional,Excellent,Average,No,No,No,Disagree,Yes,Medium,Yes,No,160,No
Balogun,Isma'il,2009-05-13,Male,Lagos Island,Jigawa,North West,Public,Lagos Island,Boarding,No,10 hours,No,Civil Servant,Middle Income,Developer,Low,Sports,No,Rarely,Science,7,Daily,Good,Good,No,Yes,No,Strongly Disagree,Yes,High,No,Yes,233,Yes
Alabi,Kabiru,2006-11-13,Male,Epe,Kebbi,South South,Private,Ikeja,Day,No,32 hours,No,Medical Professional,Middle Income,Teacher,Medium,Music,Yes,Rarely,Science,2,Occasional,Average,Average,Yes,Yes,No,Agree,No,High,No,Yes,230,Yes
Udofia,Sodiq,2008-10-07,Female,Surulere,Bayelsa,North West,Private,Agege,Boarding,Yes,32 hours,No,Business,Low Income,Teacher,Medium,Sports,Yes,Rarely,Arts,1,Daily,Excellent,Poor,Yes,No,Yes,Neutral,No,High,No,Yes,222,Yes
Ladan,Jafar,2008-04-01,Male,Epe,Lagos,North East,Private,Ikorodu,Boarding,Yes,5 hours,No,Engineer,Low Income,Developer,Low,Music,Yes,Sometimes,Arts,1,Occasional,Minor Issues,Poor,Yes,No,Yes,Strongly Disagree,Yes,Low,Yes,No,134,Yes
Elaigwu,Ibrahim,2011-06-26,Male,Surulere,Kogi,South East,Private,Badagry,Day,No,5 hours,Yes,Business,High Income,Doctor,Medium,None,Yes,Rarely,Commerce,9,Occasional,Excellent,Average,No,No,Yes,Disagree,Yes,Low,No,No,179,No
Oyedepo,Hassan,2010-08-28,Female,Ibeju-Lekki,Abuja,North West,Public,Lagos Island,Day,No,3 hours,Yes,Medical Professional,Middle Income,Doctor,Medium,None,No,Often,Arts,10,Rarely,Excellent,Average,Yes,Yes,No,Strongly Disagree,Yes,High,Yes,No,196,No
Zarami,Olatunde,2011-07-23,Male,Ifako-Ijaye,Rivers,North East,Public,Eti-Osa,Boarding,Yes,5 hours,No,Engineer,High Income,Businessperson,Low,Music,Yes,Often,Arts,9,Occasional,Good,Average,Yes,No,Yes,Agree,No,Low,No,No,124,Yes
Andrew,Abba,2007-02-06,Female,Lagos Mainland,Bauchi,North West,Private,Amuwo-Odofin,Day,No,5 hours,Yes,Farmer,High Income,Artist,Low,Sports,Yes,Often,Arts,8,Occasional,Good,Good,No,Yes,No,Strongly Disagree,Yes,Low,Yes,No,200,Yes
Hassan,Nnamdi,2007-09-08,Male,Lagos Mainland,Taraba,North East,Public,Eti-Osa,Boarding,Yes,32 hours,Yes,Teacher,High Income,Doctor,Medium,Drama,Yes,Often,Science,7,Occasional,Excellent,Average,No,No,No,Strongly Disagree,Yes,High,Yes,Yes,154,Yes
Onyeka,Ijeoma,2010-08-06,Female,Ajeromi-Ifelodun,Abuja,South East,Private,Ibeju-Lekki,Boarding,Yes,1 hour,No,Farmer,Low Income,Developer,Medium,None,Yes,Sometimes,Arts,2,Occasional,Minor Issues,Good,Yes,Yes,No,Strongly Disagree,No,Low,No,Yes,103,No
Ezeji,Nanle,2005-06-11,Male,Epe,Kaduna,South West,Public,Ikeja,Day,No,3 hours,Yes,Engineer,Middle Income,Developer,Low,None,No,Often,Science,1,Rarely,Average,Average,No,No,No,Strongly Agree,No,Medium,No,No,151,No
Oduwole,Jamilu,2008-08-01,Male,Kosofe,Katsina,South East,Private,Ibeju-Lekki,Day,No,3 hours,No,Medical Professional,Low Income,Artist,Medium,Sports,Yes,Rarely,Science,9,Rarely,Average,Average,No,No,Yes,Disagree,Yes,Low,No,No,304,No
Edeh,Inimfon,2006-12-05,Male,Eti-Osa,Zamfara,South West,Private,Ajeromi-Ifelodun,Day,No,1 hour,No,Medical Professional,Low Income,Teacher,High,Clubs,No,Rarely,Commerce,2,Rarely,Major Issues,Good,Yes,Yes,No,Strongly Agree,No,High,No,No,303,No
Ogbozor,Ibrahim,2010-11-17,Female,Epe,Kebbi,South West,Public,Lagos Island,Day,Yes,32 hours,Yes,Engineer,High Income,Artist,Medium,Music,Yes,Rarely,Science,5,Occasional,Good,Poor,No,Yes,Yes,Neutral,No,Low,No,Yes,297,Yes
Oyeniran,Ude,2005-08-04,Female,Ibeju-Lekki,Cross River,South South,Public,Ifako-Ijaye,Boarding,No,3 hours,Yes,Teacher,Middle Income,Scientist,Low,Sports,No,Often,Science,4,Daily,Minor Issues,Average,Yes,No,Yes,Agree,No,Low,No,Yes,172,No
Jayeola,Anzaku,2004-11-29,Male,Apapa,Imo,North West,Public,Amuwo-Odofin,Boarding,Yes,5 hours,No,Civil Servant,Middle Income,Lawyer,Low,Sports,Yes,Rarely,Science,6,Occasional,Excellent,Poor,No,No,No,Strongly Disagree,No,Medium,No,No,163,Yes
Chukwu,Daniel,2005-07-06,Male,Ikeja,Ebonyi,South South,Public,Alimosho,Day,Yes,1 hour,No,Medical Professional,High Income,Artist,Medium,None,Yes,Rarely,Commerce,7,Daily,Good,Good,No,Yes,Yes,Strongly Agree,Yes,High,Yes,No,234,No
Ehanmo,Agai,2004-12-11,Female,Lagos Island,Edo,North East,Private,Ikeja,Boarding,No,3 hours,No,Farmer,High Income,Teacher,High,Music,No,Sometimes,Arts,2,Occasional,Average,Good,Yes,Yes,Yes,Strongly Agree,No,Medium,No,Yes,156,No
Afolayan,Umar,2005-05-31,Male,Ifako-Ijaye,Katsina,North East,Private,Ikorodu,Boarding,Yes,5 hours,No,Teacher,High Income,Scientist,High,Sports,Yes,Rarely,Science,5,Daily,Major Issues,Good,No,Yes,No,Disagree,Yes,High,Yes,No,297,No
Fashola,Kehinde,2008-03-04,Male,Oshodi-Isolo,Jigawa,North East,Public,Ifako-Ijaye,Boarding,Yes,3 hours,No,Medical Professional,Low Income,Businessperson,Medium,Drama,No,Rarely,Arts,1,Daily,Average,Poor,No,No,Yes,Strongly Disagree,No,High,No,Yes,271,No
Abraham,Isah,2006-11-08,Male,Eti-Osa,Edo,South South,Private,Eti-Osa,Boarding,No,5 hours,Yes,Engineer,High Income,Scientist,Medium,Music,Yes,Rarely,Commerce,4,Daily,Excellent,Good,Yes,Yes,No,Agree,Yes,Low,Yes,No,115,Yes
Ebi,Edward,2007-04-29,Female,Ifako-Ijaye,Zamfara,South East,Public,Agege,Day,No,1 hour,Yes,Civil Servant,Low Income,Teacher,Medium,Sports,No,Rarely,Commerce,9,Occasional,Major Issues,Poor,Yes,No,No,Disagree,Yes,Low,No,No,107,Yes
Okorie,Victoria,2009-06-02,Female,Kosofe,Ogun,South South,Private,Surulere,Day,No,3 hours,No,Farmer,Middle Income,Engineer,Low,Drama,No,Sometimes,Commerce,5,Occasional,Excellent,Good,No,No,Yes,Strongly Agree,No,Low,No,No,107,No
Nwaogwugwu,Chinonso,2011-08-18,Male,Lagos Mainland,Akwa Ibom,South South,Private,Epe,Day,No,3 hours,No,Engineer,High Income,Businessperson,Medium,Drama,Yes,Rarely,Arts,6,Occasional,Major Issues,Good,Yes,No,No,Strongly Agree,Yes,Low,No,Yes,248,No
Anjorin,Tolu,2005-09-29,Female,Ikeja,Plateau,South East,Public,Oshodi-Isolo,Boarding,Yes,32 hours,Yes,Civil Servant,Middle Income,Engineer,High,Music,No,Sometimes,Arts,4,Daily,Good,Poor,Yes,No,Yes,Agree,Yes,Low,Yes,No,120,No
Odugu,Emmanuel,2008-05-22,Male,Badagry,Abuja,South East,Public,Ajeromi-Ifelodun,Day,No,1 hour,No,Medical Professional,Low Income,Developer,Low,None,No,Rarely,Arts,2,Rarely,Average,Poor,No,Yes,No,Strongly Agree,Yes,High,No,Yes,174,Yes
Nnamani,Joy,2009-01-11,Female,Surulere,Lagos,South East,Private,Lagos Mainland,Day,Yes,1 hour,Yes,Civil Servant,Middle Income,Teacher,Medium,Drama,No,Often,Commerce,10,Rarely,Minor Issues,Average,Yes,Yes,Yes,Disagree,Yes,Low,No,Yes,157,Yes
Okolie,Oluwaseun,2007-09-10,Male,Ojo,Enugu,North West,Public,Apapa,Boarding,Yes,5 hours,Yes,Teacher,Middle Income,Engineer,Low,None,No,Sometimes,Arts,9,Daily,Major Issues,Average,No,No,Yes,Agree,Yes,Low,No,No,180,Yes
Mmaduako,Joy,2010-09-12,Male,Epe,Osun,South South,Public,Lagos Island,Day,No,32 hours,Yes,Medical Professional,High Income,Teacher,Low,Music,Yes,Rarely,Commerce,1,Rarely,Major Issues,Poor,No,No,No,Disagree,Yes,Medium,No,Yes,140,No
Ogunleye,Emeke,2005-09-10,Female,Ikeja,Sokoto,North West,Public,Alimosho,Day,Yes,5 hours,Yes,Medical Professional,High Income,Engineer,Medium,Sports,Yes,Sometimes,Arts,8,Occasional,Good,Good,Yes,Yes,No,Agree,Yes,High,No,Yes,257,Yes
Chukwu,Musa,2004-11-30,Male,Ibeju-Lekki,Zamfara,South West,Public,Epe,Boarding,Yes,5 hours,No,Business,Low Income,Developer,High,Music,No,Rarely,Arts,5,Rarely,Average,Good,No,No,Yes,Disagree,Yes,Low,No,No,178,No
Yahaya,Betty,2006-09-01,Male,Surulere,Plateau,South West,Public,Mushin,Boarding,No,1 hour,Yes,Medical Professional,Middle Income,Teacher,Medium,None,No,Rarely,Science,7,Occasional,Minor Issues,Poor,No,Yes,Yes,Strongly Agree,No,Medium,No,No,258,No
Yusuf,Bukola,2008-09-05,Female,Ojo,Rivers,South South,Private,Ibeju-Lekki,Boarding,No,32 hours,Yes,Civil Servant,High Income,Businessperson,High,Clubs,No,Rarely,Science,9,Rarely,Average,Good,No,Yes,No,Disagree,No,Low,Yes,Yes,339,Yes
Abdullahi,Femi,2008-11-12,Female,Kosofe,Niger,North East,Private,Badagry,Boarding,No,5 hours,Yes,Teacher,High Income,Scientist,Medium,Music,Yes,Rarely,Science,3,Daily,Good,Poor,No,Yes,No,Agree,Yes,High,No,No,157,Yes
Ebi,Adamu,2009-07-17,Male,Amuwo-Odofin,Anambra,South East,Private,Oshodi-Isolo,Boarding,No,3 hours,Yes,Farmer,Low Income,Engineer,Low,Clubs,Yes,Rarely,Commerce,4,Occasional,Excellent,Average,No,No,Yes,Strongly Agree,No,Medium,No,Yes,104,No
Usman,Oluwaseun,2005-01-27,Female,Ikorodu,Kebbi,North West,Private,Shomolu,Boarding,Yes,10 hours,No,Engineer,High Income,Lawyer,Low,Drama,No,Often,Science,6,Daily,Excellent,Poor,Yes,Yes,No,Strongly Agree,No,Low,Yes,No,225,Yes
Mohammed,Omotola,2008-04-23,Female,Kosofe,Abia,South West,Private,Mushin,Boarding,Yes,32 hours,No,Engineer,Middle Income,Lawyer,High,None,Yes,Rarely,Arts,5,Occasional,Average,Good,Yes,No,No,Neutral,Yes,Low,No,Yes,277,No
Ezeji,Hassan,2011-05-12,Female,Ikorodu,Kebbi,South South,Public,Agege,Day,Yes,5 hours,Yes,Business,Low Income,Scientist,Medium,Drama,No,Often,Science,7,Rarely,Good,Average,No,No,No,Strongly Disagree,Yes,Low,Yes,Yes,282,No
Elaigwu,Fidelis,2006-12-07,Male,Kosofe,Katsina,North East,Public,Apapa,Day,No,5 hours,No,Teacher,High Income,Developer,Low,Clubs,Yes,Sometimes,Commerce,10,Daily,Good,Average,Yes,Yes,Yes,Strongly Disagree,Yes,Low,No,Yes,171,No
Ibiam,Olanrewaju,2006-02-11,Female,Amuwo-Odofin,Zamfara,South South,Public,Ikorodu,Day,Yes,1 hour,Yes,Medical Professional,Middle Income,Businessperson,Medium,Clubs,Yes,Sometimes,Science,6,Occasional,Average,Poor,No,No,No,Disagree,No,Medium,No,Yes,127,No
Onyeka,Mhungur,2006-10-25,Male,Eti-Osa,Yobe,North East,Public,Ajeromi-Ifelodun,Day,No,1 hour,No,Farmer,Middle Income,Lawyer,Medium,Sports,Yes,Sometimes,Commerce,2,Occasional,Major Issues,Good,No,No,No,Disagree,No,Low,No,No,212,Yes
Otu,John,2010-11-02,Female,Ikeja,Borno,South South,Public,Apapa,Boarding,No,5 hours,Yes,Business,Low Income,Developer,Low,Music,Yes,Rarely,Arts,1,Rarely,Major Issues,Good,No,No,No,Strongly Disagree,No,Medium,Yes,No,245,Yes
Ajayi,Oladipupo,2005-09-15,Male,Kosofe,Ogun,South East,Private,Badagry,Day,Yes,3 hours,No,Engineer,Middle Income,Lawyer,Medium,Drama,Yes,Rarely,Science,1,Occasional,Excellent,Poor,No,Yes,Yes,Strongly Agree,Yes,Medium,Yes,No,244,Yes
Mohammed,Lateef,2006-03-28,Male,Lagos Island,Kano,South East,Public,Surulere,Boarding,Yes,5 hours,No,Engineer,Low Income,Artist,High,Drama,Yes,Rarely,Arts,4,Occasional,Major Issues,Poor,No,No,No,Strongly Disagree,Yes,Medium,No,No,264,No
Aminu,Waheed,2011-02-02,Female,Ajeromi-Ifelodun,Nasarawa,North East,Private,Mushin,Day,Yes,3 hours,No,Civil Servant,Low Income,Lawyer,Low,None,Yes,Sometimes,Arts,1,Occasional,Major Issues,Poor,No,Yes,Yes,Agree,No,High,No,No,205,No
Yakubu,Peter,2006-05-05,Male,Epe,Akwa Ibom,South South,Private,Amuwo-Odofin,Day,Yes,5 hours,Yes,Engineer,Middle Income,Doctor,Medium,None,Yes,Often,Arts,8,Occasional,Excellent,Poor,No,No,No,Disagree,No,High,No,No,180,Yes
Yusuf,Asukwo,2010-07-02,Male,Alimosho,Abia,South East,Private,Lagos Island,Boarding,Yes,1 hour,Yes,Medical Professional,High Income,Artist,High,Music,Yes,Rarely,Arts,7,Daily,Average,Poor,Yes,No,Yes,Neutral,Yes,High,No,No,169,Yes
Uyieidem,Harisu,2009-05-28,Female,Lagos Mainland,Bauchi,South South,Public,Epe,Day,No,32 hours,Yes,Medical Professional,Low Income,Scientist,Medium,None,Yes,Rarely,Arts,3,Daily,Minor Issues,Poor,Yes,No,Yes,Strongly Disagree,Yes,High,No,No,205,Yes
Yekini,Joy,2007-11-22,Female,Agege,Kogi,South South,Private,Epe,Day,Yes,32 hours,Yes,Medical Professional,Middle Income,Scientist,High,None,No,Sometimes,Science,1,Daily,Major Issues,Good,Yes,Yes,Yes,Agree,No,Medium,No,Yes,293,Yes
Okeke,Mercy,2005-01-08,Male,Amuwo-Odofin,Ekiti,South East,Public,Badagry,Day,No,1 hour,No,Medical Professional,Middle Income,Teacher,High,Drama,Yes,Often,Science,6,Daily,Minor Issues,Good,Yes,No,Yes,Strongly Agree,Yes,High,Yes,Yes,199,Yes
Oguntayo,Sunday,2007-03-29,Female,Ikeja,Sokoto,South West,Public,Alimosho,Boarding,Yes,10 hours,No,Medical Professional,Middle Income,Artist,Medium,Sports,Yes,Sometimes,Arts,5,Occasional,Major Issues,Average,No,Yes,No,Agree,No,High,No,No,139,Yes
Onyeka,Isma'il,2007-03-24,Female,Mushin,Katsina,South West,Private,Lagos Mainland,Boarding,Yes,5 hours,No,Engineer,High Income,Scientist,High,Music,No,Often,Commerce,6,Occasional,Minor Issues,Average,Yes,No,Yes,Strongly Agree,No,Medium,Yes,Yes,231,No
Oshodi,Ruth,2009-10-07,Male,Surulere,Bayelsa,South South,Private,Surulere,Boarding,Yes,32 hours,Yes,Farmer,High Income,Lawyer,Low,Clubs,Yes,Often,Science,10,Daily,Minor Issues,Poor,Yes,No,No,Neutral,No,Low,Yes,No,258,No
Yusuf,Mhungur,2005-12-03,Male,Ikorodu,Akwa Ibom,South West,Private,Ikeja,Boarding,No,32 hours,No,Engineer,Middle Income,Lawyer,High,Drama,Yes,Rarely,Commerce,7,Daily,Minor Issues,Good,No,Yes,No,Disagree,No,Low,No,Yes,227,Yes
Ishaya,Alice,2008-11-07,Male,Badagry,Imo,North West,Private,Ojo,Boarding,Yes,3 hours,Yes,Medical Professional,Low Income,Doctor,Low,Drama,Yes,Sometimes,Science,8,Occasional,Minor Issues,Average,Yes,No,No,Agree,Yes,High,No,Yes,277,Yes
Ajayi,Samuel,2010-07-17,Female,Amuwo-Odofin,Kwara,South East,Public,Lagos Mainland,Boarding,No,10 hours,Yes,Civil Servant,Low Income,Scientist,High,None,Yes,Sometimes,Science,2,Rarely,Average,Average,No,No,No,Strongly Disagree,Yes,High,No,No,149,Yes
Njoku,Bola,2007-12-28,Male,Ojo,Oyo,South West,Public,Surulere,Boarding,No,3 hours,No,Teacher,Low Income,Artist,Medium,Clubs,Yes,Sometimes,Commerce,6,Rarely,Excellent,Good,No,No,Yes,Neutral,No,Medium,No,No,191,Yes
Ezeji,Mary,2011-08-15,Female,Amuwo-Odofin,Yobe,South West,Public,Lagos Mainland,Boarding,Yes,5 hours,No,Engineer,Low Income,Doctor,Medium,Drama,No,Sometimes,Arts,1,Daily,Average,Poor,No,No,No,Disagree,No,High,Yes,Yes,125,No
Omora,Mustapha,2005-04-14,Male,Ojo,Anambra,South South,Private,Agege,Day,Yes,5 hours,Yes,Civil Servant,High Income,Scientist,High,Drama,Yes,Often,Science,1,Occasional,Minor Issues,Average,Yes,No,No,Disagree,No,Medium,No,No,233,Yes
Asemota,Zainab,2011-05-25,Male,Ajeromi-Ifelodun,Kaduna,North East,Public,Eti-Osa,Day,Yes,3 hours,No,Farmer,Middle Income,Businessperson,Medium,Drama,No,Rarely,Science,7,Daily,Major Issues,Average,Yes,No,No,Agree,Yes,High,No,Yes,255,No
Abdulaziz,Lateef,2010-12-15,Male,Amuwo-Odofin,Ondo,South West,Public,Lagos Mainland,Day,Yes,32 hours,Yes,Engineer,Low Income,Engineer,High,Music,Yes,Rarely,Science,7,Occasional,Good,Poor,Yes,Yes,No,Neutral,Yes,Medium,No,Yes,304,Yes
Adebayo,Ayodele,2005-07-26,Male,Kosofe,Rivers,North East,Public,Lagos Mainland,Day,No,10 hours,Yes,Medical Professional,Low Income,Teacher,Low,Clubs,No,Often,Arts,7,Daily,Average,Good,No,No,No,Neutral,Yes,High,Yes,No,196,Yes
Ene,Philip,2008-11-11,Female,Apapa,Ebonyi,South East,Public,Eti-Osa,Day,Yes,3 hours,No,Medical Professional,High Income,Doctor,Medium,Sports,Yes,Often,Arts,7,Occasional,Excellent,Good,No,Yes,Yes,Agree,Yes,Medium,No,Yes,140,Yes
Eze,Esther,2008-10-26,Female,Ibeju-Lekki,Lagos,North East,Public,Ajeromi-Ifelodun,Day,Yes,10 hours,Yes,Teacher,Middle Income,Developer,High,Sports,Yes,Rarely,Arts,5,Daily,Average,Average,Yes,No,Yes,Strongly Disagree,No,Low,Yes,No,137,Yes
