Student ID,First Name,Last Name,Gender,Age,Date of Birth,Health Status,Disorder,State of Origin,LGA of residence,Home Address,Living Arrangement,Email,Grade Level,Stream,Extracurricular Activities,Admission Date,Graduation Date
STU028,Omotola,Ejugwu,Female,10,2014-05-04,Good,No,Yobe,Lagos Mainland,"84, Avenue in Lagos Mainland, Lagos State",Day,omotola.ejugwu@laurelhigh.com,SS2,Pure Science,Debate,2018-09-01,2019-06-30
STU029,Haladu,Afolayan,Male,14,2010-07-03,Average,No,Ekiti,Badagry,"11, Road in Badagry, Lagos State",Day,haladu.afolayan@laurelhigh.com,JSS3,General,Drama,2020-09-01,2023-06-30
STU030,Hassanat,Rasaki,Female,19,2005-03-23,Poor,Yes,Sokoto,Ajeromi-Ifelodun,"92, Avenue in Ajeromi-Ifelodun, Lagos State",Boarding,hassanat.rasaki@laurelhigh.com,JSS3,General,None,2018-09-01,2021-06-30
STU031,Hassan,Okafor,Male,15,2009-11-06,Poor,No,Nasarawa,Surulere,"66, Road in Surulere, Lagos State",Day,hassan.okafor@laurelhigh.com,SS3,Engineering,Debate,2020-09-01,2020-06-30
STU032,Bisi,Usman,Male,16,2008-10-05,Poor,No,Kano,Lagos Mainland,"73, Street in Lagos Mainland, Lagos State",Day,bisi.usman@laurelhigh.com,SS1,Commercial,None,2019-09-01,2021-06-30
STU033,Fatai,Oni,Male,20,2004-02-01,Good,No,Enugu,Lagos Island,"36, Street in Lagos Island, Lagos State",Boarding,fatai.oni@laurelhigh.com,SS2,Engineering,None,2018-09-01,2019-06-30
STU034,Emmanuel,Okolie,Female,19,2005-08-07,Average,No,Katsina,Mushin,"37, Road in Mushin, Lagos State",Day,emmanuel.okolie@laurelhigh.com,JSS1,General,None,2021-09-01,2026-06-30
STU035,Johnson,Oyedepo,Male,18,2006-05-28,Good,No,Abia,Apapa,"70, Avenue in Apapa, Lagos State",Day,johnson.oyedepo@laurelhigh.com,JSS1,General,Clubs,2020-09-01,2025-06-30
STU036,Sani,Igbo,Male,10,2014-10-12,Poor,No,Bauchi,Amuwo-Odofin,"47, Road in Amuwo-Odofin, Lagos State",Day,sani.igbo@laurelhigh.com,JSS3,General,None,2017-09-01,2020-06-30
STU037,Ude,Udofia,Female,16,2008-10-03,Good,No,Akwa Ibom,Badagry,"99, Avenue in Badagry, Lagos State",Boarding,ude.udofia@laurelhigh.com,JSS1,General,Debate,2019-09-01,2024-06-30
STU038,Khadijah,Femi,Male,12,2012-01-27,Poor,No,Osun,Kosofe,"56, Road in Kosofe, Lagos State",Boarding,khadijah.femi@laurelhigh.com,JSS1,General,None,2020-09-01,2025-06-30
STU039,Anzaku,Ladan,Male,14,2010-04-21,Good,No,Kaduna,Badagry,"11, Avenue in Badagry, Lagos State",Day,anzaku.ladan@laurelhigh.com,SS3,Art,Clubs,2019-09-01,2019-06-30
STU040,Abiodun,Ishaya,Male,19,2005-01-27,Average,No,Borno,Epe,"44, Road in Epe, Lagos State",Boarding,abiodun.ishaya@laurelhigh.com,SS3,General,"Clubs, Drama",2021-09-01,2021-06-30
STU041,Femi,Anyanwu,Male,14,2010-08-08,Good,No,Kogi,Ikorodu,"83, Avenue in Ikorodu, Lagos State",Day,femi.anyanwu@laurelhigh.com,SS3,Commercial,None,2018-09-01,2018-06-30
STU042,Joy,Ogidi,Male,13,2011-03-11,Good,No,Bayelsa,Ajeromi-Ifelodun,"44, Road in Ajeromi-Ifelodun, Lagos State",Boarding,joy.ogidi@laurelhigh.com,SS3,Commercial,"Music, Drama",2019-09-01,2019-06-30
STU043,Oleje,Olorunfemi,Male,17,2007-02-02,Good,No,Edo,Shomolu,"32, Street in Shomolu, Lagos State",Boarding,oleje.olorunfemi@laurelhigh.com,JSS2,General,"Debate, Music",2018-09-01,2022-06-30
STU044,Anzaku,Ladan,Female,12,2012-08-16,Good,No,Oyo,Mushin,"64, Road in Mushin, Lagos State",Boarding,anzaku.ladan@laurelhigh.com,SS3,General,None,2018-09-01,2018-06-30
STU045,Abba,Sanbauna,Male,15,2009-05-16,Average,No,Kano,Ibeju-Lekki,"7, Street in Ibeju-Lekki, Lagos State",Day,abba.sanbauna@laurelhigh.com,JSS3,General,None,2018-09-01,2021-06-30
STU046,Zaharudeen,Okoro,Female,16,2008-07-02,Poor,No,Bauchi,Lagos Mainland,"47, Street in Lagos Mainland, Lagos State",Day,zaharudeen.okoro@laurelhigh.com,JSS3,General,None,2020-09-01,2023-06-30
STU047,Tolu,Odoh,Female,14,2010-10-04,Poor,No,Lagos,Ikorodu,"80, Road in Ikorodu, Lagos State",Boarding,tolu.odoh@laurelhigh.com,JSS1,General,None,2021-09-01,2026-06-30
STU048,Sani,Egbon,Male,18,2006-01-02,Poor,No,Borno,Epe,"52, Road in Epe, Lagos State",Day,sani.egbon@laurelhigh.com,JSS1,General,"Clubs, Debate",2019-09-01,2024-06-30
STU049,Hassanat,Rasaki,Female,19,2005-10-11,Average,No,Abia,Surulere,"95, Avenue in Surulere, Lagos State",Boarding,hassanat.rasaki@laurelhigh.com,JSS3,General,Clubs,2017-09-01,2020-06-30
STU050,Amadi,Omora,Male,20,2004-10-10,Average,No,Kogi,Lagos Island,"15, Avenue in Lagos Island, Lagos State",Day,amadi.omora@laurelhigh.com,SS2,Engineering,None,2021-09-01,2022-06-30
STU051,Adekunle,Okon,Male,20,2004-07-05,Good,No,Rivers,Badagry,"93, Road in Badagry, Lagos State",Day,adekunle.okon@laurelhigh.com,SS3,General,Sports,2020-09-01,2020-06-30
STU052,Joy,Ogidi,Male,16,2008-07-17,Average,No,Abia,Ikeja,"89, Street in Ikeja, Lagos State",Boarding,joy.ogidi@laurelhigh.com,SS2,General,Clubs,2018-09-01,2019-06-30
STU053,Jerome,Augustine,Male,15,2009-09-11,Poor,Yes,Rivers,Surulere,"23, Avenue in Surulere, Lagos State",Boarding,jerome.augustine@laurelhigh.com,JSS3,General,Music,2019-09-01,2022-06-30
STU054,Inimfon,Akinola,Female,14,2010-12-23,Average,No,Zamfara,Eti-Osa,"91, Street in Eti-Osa, Lagos State",Boarding,inimfon.akinola@laurelhigh.com,JSS3,General,None,2018-09-01,2021-06-30
STU055,Alice,Isong,Female,16,2008-05-02,Poor,No,Oyo,Surulere,"45, Street in Surulere, Lagos State",Boarding,alice.isong@laurelhigh.com,JSS2,General,None,2021-09-01,2025-06-30
STU056,Adebayo,Ibrahim,Male,18,2006-12-09,Average,No,Rivers,Mushin,"35, Road in Mushin, Lagos State",Day,adebayo.ibrahim@laurelhigh.com,JSS1,General,Music,2017-09-01,2022-06-30
STU057,Tunde,Ibiam,Male,10,2014-06-23,Average,No,Ogun,Oshodi-Isolo,"13, Avenue in Oshodi-Isolo, Lagos State",Boarding,tunde.ibiam@laurelhigh.com,JSS3,General,None,2020-09-01,2023-06-30
STU058,Vivian,Oluwasanmi,Male,14,2010-11-02,Poor,No,Rivers,Mushin,"42, Avenue in Mushin, Lagos State",Day,vivian.oluwasanmi@laurelhigh.com,SS3,Engineering,None,2021-09-01,2021-06-30
STU059,Blessing,Udofia,Female,17,2007-05-02,Poor,No,Taraba,Surulere,"24, Road in Surulere, Lagos State",Boarding,blessing.udofia@laurelhigh.com,JSS1,General,Drama,2017-09-01,2022-06-30
STU060,Felicia,Okafor,Male,12,2012-05-07,Average,No,Ondo,Amuwo-Odofin,"65, Avenue in Amuwo-Odofin, Lagos State",Day,felicia.okafor@laurelhigh.com,SS3,Art,Drama,2019-09-01,2019-06-30
STU061,Peter,Adebayo,Female,20,2004-03-20,Average,No,Anambra,Ibeju-Lekki,"97, Street in Ibeju-Lekki, Lagos State",Day,peter.adebayo@laurelhigh.com,SS3,Pure Science,Sports,2018-09-01,2018-06-30
STU062,Emeka,Udo,Female,13,2011-07-08,Good,Yes,Bauchi,Lagos Island,"1, Avenue in Lagos Island, Lagos State",Boarding,emeka.udo@laurelhigh.com,JSS3,General,"Drama, Sports",2019-09-01,2022-06-30
STU063,Alice,Arinze,Female,17,2007-07-22,Poor,No,Kano,Ifako-Ijaye,"40, Street in Ifako-Ijaye, Lagos State",Day,alice.arinze@laurelhigh.com,JSS3,General,Drama,2019-09-01,2022-06-30
STU064,Maxwell,Bello,Male,17,2007-06-14,Good,No,Bauchi,Ikeja,"96, Road in Ikeja, Lagos State",Boarding,maxwell.bello@laurelhigh.com,SS2,Engineering,"Music, Clubs",2018-09-01,2019-06-30
STU065,Emmanuel,Ogunleye,Female,11,2013-09-07,Average,No,Enugu,Ibeju-Lekki,"8, Road in Ibeju-Lekki, Lagos State",Day,emmanuel.ogunleye@laurelhigh.com,JSS3,General,None,2020-09-01,2023-06-30
STU066,Daniel,Nwosu,Male,11,2013-01-15,Poor,No,Jigawa,Amuwo-Odofin,"66, Avenue in Amuwo-Odofin, Lagos State",Boarding,daniel.nwosu@laurelhigh.com,JSS1,General,None,2018-09-01,2023-06-30
STU067,Ternenge,Osanyintipin,Male,14,2010-04-19,Average,No,Zamfara,Surulere,"1, Road in Surulere, Lagos State",Day,ternenge.osanyintipin@laurelhigh.com,JSS1,General,None,2018-09-01,2023-06-30
STU068,Anzaku,Ladan,Female,14,2010-03-25,Poor,No,Niger,Alimosho,"53, Street in Alimosho, Lagos State",Boarding,anzaku.ladan@laurelhigh.com,SS1,Commercial,"Debate, Clubs",2018-09-01,2020-06-30
STU069,Amomot,Yekini,Female,11,2013-07-17,Average,Yes,Ondo,Lagos Mainland,"23, Road in Lagos Mainland, Lagos State",Boarding,amomot.yekini@laurelhigh.com,JSS1,General,"Sports, Drama",2020-09-01,2025-06-30
STU070,Jafar,Etim,Male,17,2007-05-07,Good,No,Imo,Oshodi-Isolo,"45, Street in Oshodi-Isolo, Lagos State",Day,jafar.etim@laurelhigh.com,SS3,General,"Debate, Sports",2021-09-01,2021-06-30
STU071,Bisi,Usman,Male,17,2007-12-28,Good,No,Plateau,Alimosho,"77, Road in Alimosho, Lagos State",Day,bisi.usman@laurelhigh.com,JSS1,General,None,2021-09-01,2026-06-30
STU072,Sani,Egbon,Male,14,2010-10-11,Good,Yes,Nasarawa,Badagry,"30, Road in Badagry, Lagos State",Day,sani.egbon@laurelhigh.com,JSS3,General,None,2019-09-01,2022-06-30
STU073,Godwin,Jabbi,Female,18,2006-03-21,Poor,No,Zamfara,Alimosho,"76, Road in Alimosho, Lagos State",Boarding,godwin.jabbi@laurelhigh.com,SS1,Pure Science,None,2017-09-01,2019-06-30
STU074,Daniel,Ibrahim,Female,16,2008-07-06,Poor,No,Ogun,Ojo,"20, Avenue in Ojo, Lagos State",Day,daniel.ibrahim@laurelhigh.com,SS2,Art,"Drama, Music",2018-09-01,2019-06-30
STU075,Alhaji,Amus,Male,18,2006-04-09,Poor,No,Bayelsa,Ikorodu,"18, Avenue in Ikorodu, Lagos State",Day,alhaji.amus@laurelhigh.com,JSS1,General,"Drama, Sports",2021-09-01,2026-06-30
STU076,Oluwaseun,Mohammed,Female,10,2014-10-24,Good,No,Imo,Epe,"10, Street in Epe, Lagos State",Boarding,oluwaseun.mohammed@laurelhigh.com,SS1,Pure Science,None,2020-09-01,2022-06-30
STU077,Zahra,Ibiam,Female,11,2013-04-23,Poor,No,Abuja,Mushin,"96, Avenue in Mushin, Lagos State",Boarding,zahra.ibiam@laurelhigh.com,SS1,Pure Science,"Clubs, Drama",2020-09-01,2022-06-30
STU078,Collins,Okon,Male,14,2010-08-15,Average,No,Ondo,Eti-Osa,"47, Road in Eti-Osa, Lagos State",Boarding,collins.okon@laurelhigh.com,JSS1,General,Drama,2018-09-01,2023-06-30
STU079,Adewumi,Ogore,Female,13,2011-01-09,Poor,No,Bayelsa,Ibeju-Lekki,"95, Street in Ibeju-Lekki, Lagos State",Day,adewumi.ogore@laurelhigh.com,JSS3,General,Debate,2017-09-01,2020-06-30
STU080,Bola,Yusuf,Female,19,2005-09-21,Good,No,Anambra,Surulere,"32, Avenue in Surulere, Lagos State",Boarding,bola.yusuf@laurelhigh.com,SS3,Commercial,Debate,2019-09-01,2019-06-30
STU081,Olatunde,Sanbauna,Male,18,2006-09-21,Good,No,Ebonyi,Ikeja,"63, Street in Ikeja, Lagos State",Boarding,olatunde.sanbauna@laurelhigh.com,SS3,General,"Sports, Clubs",2017-09-01,2017-06-30
STU082,Zainab,Udofia,Male,10,2014-08-12,Average,No,Kaduna,Ikeja,"28, Road in Ikeja, Lagos State",Boarding,zainab.udofia@laurelhigh.com,JSS1,General,"Debate, Sports",2017-09-01,2022-06-30
STU083,Cyril,Ahmed,Male,18,2006-09-27,Poor,No,Kogi,Shomolu,"37, Street in Shomolu, Lagos State",Day,cyril.ahmed@laurelhigh.com,SS1,Art,None,2018-09-01,2020-06-30
STU084,Oleje,Olorunfemi,Male,14,2010-07-03,Poor,No,Yobe,Badagry,"46, Avenue in Badagry, Lagos State",Day,oleje.olorunfemi@laurelhigh.com,JSS2,General,None,2018-09-01,2022-06-30
STU085,Augustina,Eze,Female,16,2008-09-16,Average,No,Benue,Apapa,"49, Avenue in Apapa, Lagos State",Boarding,augustina.eze@laurelhigh.com,JSS1,General,Sports,2021-09-01,2026-06-30
STU086,Kingsley,Musa,Male,18,2006-04-28,Average,No,Anambra,Ifako-Ijaye,"6, Street in Ifako-Ijaye, Lagos State",Boarding,kingsley.musa@laurelhigh.com,SS1,Pure Science,None,2017-09-01,2019-06-30
STU087,Samuel,Zarami,Male,12,2012-04-19,Good,No,Ondo,Alimosho,"41, Street in Alimosho, Lagos State",Boarding,samuel.zarami@laurelhigh.com,JSS1,General,"Drama, Music",2018-09-01,2023-06-30
STU088,Nanle,Mohammed,Male,12,2012-02-17,Poor,Yes,Ondo,Surulere,"89, Road in Surulere, Lagos State",Day,nanle.mohammed@laurelhigh.com,SS2,General,None,2019-09-01,2020-06-30
STU089,Chukwunonso,Bello,Female,20,2004-08-08,Average,No,Akwa Ibom,Agege,"35, Avenue in Agege, Lagos State",Day,chukwunonso.bello@laurelhigh.com,JSS2,General,None,2018-09-01,2022-06-30
STU090,Abdullahi,Obi,Male,11,2013-07-23,Poor,No,Sokoto,Apapa,"35, Street in Apapa, Lagos State",Day,abdullahi.obi@laurelhigh.com,SS2,Pure Science,None,2020-09-01,2021-06-30
STU091,Asukwo,Stephen,Male,14,2010-02-06,Average,No,Zamfara,Lagos Mainland,"14, Street in Lagos Mainland, Lagos State",Day,asukwo.stephen@laurelhigh.com,JSS3,General,Debate,2017-09-01,2020-06-30
STU092,Chika,Njoku,Male,19,2005-07-01,Good,No,Ebonyi,Apapa,"77, Avenue in Apapa, Lagos State",Day,chika.njoku@laurelhigh.com,JSS2,General,Clubs,2018-09-01,2022-06-30
STU093,Philip,Rasaki,Female,14,2010-08-05,Average,No,Imo,Ikeja,"39, Avenue in Ikeja, Lagos State",Boarding,philip.rasaki@laurelhigh.com,JSS1,General,None,2018-09-01,2023-06-30
STU094,Sunday,Anjorin,Male,13,2011-08-20,Average,Yes,Niger,Shomolu,"93, Road in Shomolu, Lagos State",Boarding,sunday.anjorin@laurelhigh.com,SS1,General,None,2018-09-01,2020-06-30
STU095,Mhungur,Ebi,Female,15,2009-10-05,Average,No,Imo,Ajeromi-Ifelodun,"56, Road in Ajeromi-Ifelodun, Lagos State",Day,mhungur.ebi@laurelhigh.com,JSS2,General,"Music, Debate",2017-09-01,2021-06-30
STU096,Philip,Patrick,Male,20,2004-04-11,Average,Yes,Akwa Ibom,Eti-Osa,"63, Road in Eti-Osa, Lagos State",Day,philip.patrick@laurelhigh.com,JSS2,General,None,2018-09-01,2022-06-30
STU097,Zahra,Okolie,Female,13,2011-12-03,Average,No,Osun,Ajeromi-Ifelodun,"57, Avenue in Ajeromi-Ifelodun, Lagos State",Day,zahra.okolie@laurelhigh.com,SS3,Pure Science,None,2018-09-01,2018-06-30
STU098,Asukwo,Egbon,Female,11,2013-08-19,Poor,Yes,Borno,Surulere,"58, Road in Surulere, Lagos State",Day,asukwo.egbon@laurelhigh.com,JSS3,General,"Debate, Sports",2017-09-01,2020-06-30
STU099,Augustina,Uwa,Male,20,2004-10-21,Good,Yes,Kano,Kosofe,"79, Street in Kosofe, Lagos State",Day,augustina.uwa@laurelhigh.com,SS1,Commercial,"Debate, Sports",2018-09-01,2020-06-30
STU100,Joseph,Amus,Male,18,2006-10-08,Good,No,Kaduna,Badagry,"75, Road in Badagry, Lagos State",Boarding,joseph.amus@laurelhigh.com,JSS3,General,None,2018-09-01,2021-06-30
STU101,Amomot,Arinze,Male,16,2008-12-05,Average,No,Rivers,Eti-Osa,"11, Street in Eti-Osa, Lagos State",Boarding,amomot.arinze@laurelhigh.com,JSS2,General,None,2019-09-01,2023-06-30
STU102,Bisi,Mohammed,Male,17,2007-05-02,Average,No,Rivers,Ajeromi-Ifelodun,"41, Street in Ajeromi-Ifelodun, Lagos State",Day,bisi.mohammed@laurelhigh.com,SS3,General,"Sports, Music",2021-09-01,2021-06-30
STU103,Haladu,Ogunsanya,Male,16,2008-07-21,Poor,No,Gombe,Ikorodu,"60, Street in Ikorodu, Lagos State",Boarding,haladu.ogunsanya@laurelhigh.com,JSS1,General,None,2018-09-01,2023-06-30
STU104,Abiodun,Ishaya,Male,13,2011-12-26,Average,No,Cross River,Agege,"27, Avenue in Agege, Lagos State",Boarding,abiodun.ishaya@laurelhigh.com,SS2,General,Clubs,2017-09-01,2018-06-30
STU105,Uche,Anyanwu,Male,14,2010-09-21,Average,No,Yobe,Ifako-Ijaye,"86, Avenue in Ifako-Ijaye, Lagos State",Boarding,uche.anyanwu@laurelhigh.com,JSS2,General,Clubs,2018-09-01,2022-06-30
STU106,Omotomilola,Musa,Male,20,2004-10-19,Poor,No,Edo,Kosofe,"91, Avenue in Kosofe, Lagos State",Boarding,omotomilola.musa@laurelhigh.com,JSS1,General,None,2020-09-01,2025-06-30
STU107,Sunday,Okafor,Male,18,2006-10-05,Average,Yes,Taraba,Ikeja,"50, Avenue in Ikeja, Lagos State",Day,sunday.okafor@laurelhigh.com,JSS3,General,None,2018-09-01,2021-06-30
STU108,Adamu,Elaigwu,Male,15,2009-01-28,Poor,No,Sokoto,Kosofe,"58, Road in Kosofe, Lagos State",Boarding,adamu.elaigwu@laurelhigh.com,JSS2,General,None,2021-09-01,2025-06-30
STU109,Philip,Patrick,Male,16,2008-07-23,Good,No,Osun,Amuwo-Odofin,"88, Avenue in Amuwo-Odofin, Lagos State",Day,philip.patrick@laurelhigh.com,SS3,Art,None,2018-09-01,2018-06-30
STU110,Ternenge,Oluwole,Male,18,2006-08-19,Average,No,Kwara,Oshodi-Isolo,"37, Street in Oshodi-Isolo, Lagos State",Boarding,ternenge.oluwole@laurelhigh.com,SS2,Engineering,Clubs,2018-09-01,2019-06-30
STU111,Emmanuel,Okolie,Male,10,2014-08-18,Good,Yes,Ondo,Ikorodu,"98, Road in Ikorodu, Lagos State",Boarding,emmanuel.okolie@laurelhigh.com,JSS1,General,None,2018-09-01,2023-06-30
STU112,Kenith,Yahaya,Female,15,2009-02-25,Average,No,Kwara,Shomolu,"12, Avenue in Shomolu, Lagos State",Day,kenith.yahaya@laurelhigh.com,SS3,Engineering,Clubs,2020-09-01,2020-06-30
STU113,Daniel,Udo,Female,10,2014-09-09,Average,No,Bauchi,Mushin,"73, Avenue in Mushin, Lagos State",Boarding,daniel.udo@laurelhigh.com,JSS3,General,None,2020-09-01,2023-06-30
STU114,Mhungur,Egbon,Female,12,2012-01-09,Average,No,Kebbi,Ifako-Ijaye,"97, Avenue in Ifako-Ijaye, Lagos State",Day,mhungur.egbon@laurelhigh.com,SS3,Art,None,2020-09-01,2020-06-30
STU115,Sadiq,Ejeh,Female,19,2005-11-14,Good,No,Akwa Ibom,Ikeja,"81, Avenue in Ikeja, Lagos State",Boarding,sadiq.ejeh@laurelhigh.com,JSS2,General,Sports,2021-09-01,2025-06-30
STU116,Temitayo,Adebayo,Male,15,2009-12-03,Average,No,Enugu,Amuwo-Odofin,"75, Street in Amuwo-Odofin, Lagos State",Boarding,temitayo.adebayo@laurelhigh.com,SS2,Commercial,"Clubs, Debate",2018-09-01,2019-06-30
STU117,Jamilu,Egbunu,Male,15,2009-09-19,Poor,No,Jigawa,Shomolu,"37, Avenue in Shomolu, Lagos State",Day,jamilu.egbunu@laurelhigh.com,JSS1,General,Sports,2018-09-01,2023-06-30
STU118,Fatai,Ahmad,Female,12,2012-01-14,Good,Yes,Edo,Ifako-Ijaye,"57, Avenue in Ifako-Ijaye, Lagos State",Day,fatai.ahmad@laurelhigh.com,JSS1,General,"Drama, Music",2020-09-01,2025-06-30
STU119,Umar,Omora,Female,15,2009-03-02,Poor,No,Enugu,Apapa,"86, Road in Apapa, Lagos State",Day,umar.omora@laurelhigh.com,JSS2,General,Music,2019-09-01,2023-06-30
STU120,Ugonma,Osanyintipin,Female,17,2007-10-08,Poor,No,Plateau,Mushin,"10, Street in Mushin, Lagos State",Day,ugonma.osanyintipin@laurelhigh.com,JSS3,General,None,2018-09-01,2021-06-30
STU121,Nnamdi,Ejugwu,Female,11,2013-02-24,Average,No,Cross River,Amuwo-Odofin,"30, Avenue in Amuwo-Odofin, Lagos State",Day,nnamdi.ejugwu@laurelhigh.com,SS3,Commercial,None,2021-09-01,2021-06-30
STU122,Bola,Ishaya,Female,18,2006-10-21,Average,No,Bauchi,Apapa,"73, Street in Apapa, Lagos State",Boarding,bola.ishaya@laurelhigh.com,JSS1,General,Music,2019-09-01,2024-06-30
STU123,Nnamdi,Ejugwu,Male,12,2012-10-24,Good,No,Jigawa,Ifako-Ijaye,"97, Street in Ifako-Ijaye, Lagos State",Day,nnamdi.ejugwu@laurelhigh.com,JSS2,General,None,2018-09-01,2022-06-30
