Parent ID,LASRRA ID,Student ID,First Name,Last Name,Gender,State of Origin,Title,Age,Date of Birth,Email,Phone Number,Home Address,Occupation,Financial Status,Education Level,Engagement in School Activities,LGA of residence
PAR011,7170230914338670907,STU007,Nwanyinnaya,Ibiam,Female,Yobe,Mr.,46,1978-02-22,nwanyinnaya.ibiam@gmail.com,+2347067854710,"20, Street in Ibeju-Lekki, Lagos State",Engineer,Middle Income,Secondary,Medium,Oshodi-Isolo
PAR011,7170230914338670907,STU195,Nwanyinnaya,Ibiam,Male,Plateau,Mr.,46,1978-07-24,nwanyinnaya.ibiam@gmail.com,+2347055540424,"20, Street in Ibeju-Lekki, Lagos State",Farmer,Low Income,Primary,High,Oshodi-Isolo
PAR012,5266990816533068825,STU004,Sani,Adeleke,Male,Niger,Prof.,43,1981-09-04,sani.adeleke@gmail.com,+2347016789850,"28, Street in Mushin, Lagos State",Civil Servant,High Income,Primary,High,Kosofe
PAR012,5266990816533068825,STU288,Sani,Adeleke,Male,Gombe,Prof.,43,1981-08-16,sani.adeleke@gmail.com,+2347038688676,"28, Street in Mushin, Lagos State",Medical Professional,Low Income,Primary,Medium,Kosofe
PAR012,5266990816533068825,STU321,Sani,Adeleke,Male,Imo,Dr.,43,1981-08-10,sani.adeleke@gmail.com,+2347066775103,"28, Street in Mushin, Lagos State",Civil Servant,High Income,Tertiary,Low,Kosofe
PAR012,5266990816533068825,STU396,Sani,Adeleke,Female,Borno,Mrs.,43,1981-05-07,sani.adeleke@gmail.com,+2347017849494,"28, Street in Mushin, Lagos State",Business,High Income,Tertiary,High,Kosofe
PAR013,5637976107999481834,STU564,Olatunde,Odugu,Male,Nasarawa,Chief,31,1993-02-28,olatunde.odugu@gmail.com,+2347034941004,"49, Road in Ibeju-Lekki, Lagos State",Farmer,High Income,Primary,Low,Ibeju-Lekki
PAR013,5637976107999481834,STU003,Olatunde,Odugu,Male,Akwa Ibom,Mr.,31,1993-10-08,olatunde.odugu@gmail.com,+2347087701200,"49, Road in Ibeju-Lekki, Lagos State",Business,Low Income,Tertiary,High,Ibeju-Lekki
PAR013,5637976107999481834,STU346,Olatunde,Odugu,Female,Oyo,Chief,31,1993-06-09,olatunde.odugu@gmail.com,+2347037415205,"49, Road in Ibeju-Lekki, Lagos State",Civil Servant,High Income,Secondary,High,Ibeju-Lekki
PAR014,3916219870381910901,STU561,Yohanna,Yahaya,Male,Abuja,Prof.,34,1990-10-19,yohanna.yahaya@gmail.com,+2347023419256,"23, Street in Lagos Mainland, Lagos State",Farmer,High Income,Primary,Low,Eti-Osa
PAR014,3916219870381910901,STU426,Yohanna,Yahaya,Female,Bauchi,Dr.,34,1990-02-08,yohanna.yahaya@gmail.com,+2347059597086,"23, Street in Lagos Mainland, Lagos State",Engineer,Low Income,Secondary,Low,Eti-Osa
PAR014,3916219870381910901,STU261,Yohanna,Yahaya,Female,Ogun,Mr.,34,1990-11-27,yohanna.yahaya@gmail.com,+2347084437458,"23, Street in Lagos Mainland, Lagos State",Engineer,High Income,Primary,High,Eti-Osa
PAR015,6102587499214996763,STU173,Sunday,Okafor,Male,Kebbi,Dr.,58,1966-10-07,sunday.okafor@gmail.com,+2347056020613,"45, Street in Ikorodu, Lagos State",Teacher,High Income,Tertiary,Medium,Ifako-Ijaye
PAR015,6102587499214996763,STU041,Sunday,Okafor,Female,Katsina,Mr.,58,1966-02-21,sunday.okafor@gmail.com,+2347066851377,"45, Street in Ikorodu, Lagos State",Engineer,Low Income,Primary,Medium,Ifako-Ijaye
PAR015,6102587499214996763,STU559,Sunday,Okafor,Male,Katsina,Mrs.,58,1966-12-15,sunday.okafor@gmail.com,+2347084045292,"45, Street in Ikorodu, Lagos State",Civil Servant,Middle Income,Tertiary,High,Ifako-Ijaye
PAR016,1332300930545077819,STU457,Chika,Mohammed,Female,Osun,Mrs.,60,1964-07-05,chika.mohammed@gmail.com,+2347015614174,"1, Avenue in Epe, Lagos State",Engineer,Middle Income,Primary,Medium,Ikeja
PAR017,8195302353946980042,STU033,Zahra,Okolie,Female,Borno,Mrs.,37,1987-03-26,zahra.okolie@gmail.com,+2347033763566,"36, Street in Lagos Island, Lagos State",Medical Professional,Low Income,Primary,Low,Ifako-Ijaye
PAR017,8195302353946980042,STU140,Zahra,Okolie,Female,Bayelsa,Mrs.,37,1987-05-06,zahra.okolie@gmail.com,+2347024508349,"36, Street in Lagos Island, Lagos State",Medical Professional,Low Income,Secondary,High,Ifako-Ijaye
PAR018,3814888912663820003,STU568,Zayyanu,Afolayan,Male,Kaduna,Mr.,59,1965-11-07,zayyanu.afolayan@gmail.com,+2347063481198,"25, Street in Amuwo-Odofin, Lagos State",Engineer,Middle Income,Primary,Medium,Ajeromi-Ifelodun
PAR018,3814888912663820003,STU433,Zayyanu,Afolayan,Female,Lagos,Prof.,59,1965-11-27,zayyanu.afolayan@gmail.com,+2347081969657,"25, Street in Amuwo-Odofin, Lagos State",Engineer,Low Income,Primary,Medium,Ajeromi-Ifelodun
PAR019,1999837042001787202,STU182,Adewumi,Onyeka,Female,Ebonyi,Dr.,60,1964-07-20,adewumi.onyeka@gmail.com,+2347078642041,"44, Avenue in Ikeja, Lagos State",Farmer,Middle Income,Tertiary,High,Shomolu
PAR019,1999837042001787202,STU347,Adewumi,Onyeka,Female,Kwara,Prof.,60,1964-01-17,adewumi.onyeka@gmail.com,+2347082269803,"44, Avenue in Ikeja, Lagos State",Civil Servant,High Income,Tertiary,Low,Shomolu
PAR020,7126511272585949229,STU581,Ugonma,Yekini,Female,Abia,Mr.,43,1981-12-10,ugonma.yekini@gmail.com,+2347078064830,"98, Street in Amuwo-Odofin, Lagos State",Engineer,High Income,Secondary,Medium,Apapa
PAR020,7126511272585949229,STU416,Ugonma,Yekini,Female,Sokoto,Chief,43,1981-03-07,ugonma.yekini@gmail.com,+2347066431351,"98, Street in Amuwo-Odofin, Lagos State",Civil Servant,Middle Income,Tertiary,Low,Apapa
PAR021,6053828718333823701,STU312,Daniel,Udo,Male,Zamfara,Dr.,48,1976-04-14,daniel.udo@gmail.com,+2347087844239,"11, Road in Agege, Lagos State",Business,High Income,Secondary,Medium,Eti-Osa
PAR021,6053828718333823701,STU410,Daniel,Udo,Female,Delta,Mrs.,48,1976-09-16,daniel.udo@gmail.com,+2347032775593,"11, Road in Agege, Lagos State",Civil Servant,Low Income,Secondary,Low,Eti-Osa
PAR022,3863114202715543104,STU522,Paul,Abdulaziz,Male,Yobe,Mrs.,56,1968-01-02,paul.abdulaziz@gmail.com,+2347042862209,"89, Street in Surulere, Lagos State",Medical Professional,High Income,Primary,Medium,Oshodi-Isolo
PAR022,3863114202715543104,STU075,Paul,Abdulaziz,Female,Oyo,Mrs.,56,1968-12-23,paul.abdulaziz@gmail.com,+2347061536717,"89, Street in Surulere, Lagos State",Medical Professional,Middle Income,Primary,High,Oshodi-Isolo
PAR022,3863114202715543104,STU370,Paul,Abdulaziz,Male,Plateau,Prof.,56,1968-04-06,paul.abdulaziz@gmail.com,+2347079519112,"89, Street in Surulere, Lagos State",Medical Professional,Low Income,Tertiary,High,Oshodi-Isolo
PAR023,5898826944631955393,STU064,Emeke,Odugu,Female,Delta,Chief,34,1990-12-17,emeke.odugu@gmail.com,+2347067276174,"96, Road in Ikeja, Lagos State",Business,Middle Income,Primary,Low,Ajeromi-Ifelodun
PAR024,6881388679557103885,STU300,Terhemba,Okafor,Female,Ogun,Prof.,38,1986-11-08,terhemba.okafor@gmail.com,+2347046855845,"74, Street in Lagos Island, Lagos State",Medical Professional,Low Income,Tertiary,Medium,Oshodi-Isolo
PAR024,6881388679557103885,STU418,Terhemba,Okafor,Male,Kebbi,Dr.,38,1986-06-18,terhemba.okafor@gmail.com,+2347020814950,"74, Street in Lagos Island, Lagos State",Teacher,Low Income,Primary,Medium,Oshodi-Isolo
PAR024,6881388679557103885,STU387,Terhemba,Okafor,Male,Jigawa,Mr.,38,1986-07-14,terhemba.okafor@gmail.com,+2347054410148,"74, Street in Lagos Island, Lagos State",Business,Middle Income,Secondary,High,Oshodi-Isolo
PAR024,6881388679557103885,STU381,Terhemba,Okafor,Male,Bayelsa,Prof.,38,1986-10-23,terhemba.okafor@gmail.com,+2347012621534,"74, Street in Lagos Island, Lagos State",Business,Middle Income,Secondary,High,Oshodi-Isolo
PAR025,9223941659071320213,STU198,Agai,Abdulqadir,Female,Ondo,Chief,54,1970-10-08,agai.abdulqadir@gmail.com,+2347075529051,"87, Road in Lagos Mainland, Lagos State",Teacher,Middle Income,Secondary,Medium,Surulere
PAR025,9223941659071320213,STU598,Agai,Abdulqadir,Male,Imo,Dr.,54,1970-11-22,agai.abdulqadir@gmail.com,+2347064266464,"87, Road in Lagos Mainland, Lagos State",Civil Servant,Low Income,Secondary,High,Surulere
PAR025,9223941659071320213,STU420,Agai,Abdulqadir,Male,Akwa Ibom,Chief,54,1970-10-22,agai.abdulqadir@gmail.com,+2347013637575,"87, Road in Lagos Mainland, Lagos State",Farmer,High Income,Secondary,High,Surulere
PAR026,4019295438723150707,STU211,Silas,Kelechi,Male,Edo,Dr.,31,1993-06-25,silas.kelechi@gmail.com,+2347060885459,"54, Road in Surulere, Lagos State",Engineer,Middle Income,Secondary,High,Shomolu
PAR026,4019295438723150707,STU290,Silas,Kelechi,Female,Kogi,Chief,31,1993-01-12,silas.kelechi@gmail.com,+2347040094589,"54, Road in Surulere, Lagos State",Civil Servant,Low Income,Tertiary,High,Shomolu
PAR026,4019295438723150707,STU112,Silas,Kelechi,Male,Kano,Mrs.,31,1993-01-20,silas.kelechi@gmail.com,+2347030452412,"54, Road in Surulere, Lagos State",Teacher,Low Income,Secondary,Low,Shomolu
PAR026,4019295438723150707,STU069,Silas,Kelechi,Male,Oyo,Mrs.,31,1993-08-23,silas.kelechi@gmail.com,+2347044392446,"54, Road in Surulere, Lagos State",Engineer,Low Income,Tertiary,Low,Shomolu
PAR027,3868827682999103692,STU299,Samuel,Salam,Male,Kogi,Dr.,56,1968-10-22,samuel.salam@gmail.com,+2347060372847,"26, Avenue in Amuwo-Odofin, Lagos State",Medical Professional,High Income,Primary,High,Kosofe
PAR028,7311175693156536664,STU492,Jamilu,Adeleke,Male,Oyo,Mr.,52,1972-06-18,jamilu.adeleke@gmail.com,+2347067495923,"97, Road in Ifako-Ijaye, Lagos State",Civil Servant,Middle Income,Primary,Low,Eti-Osa
PAR028,7311175693156536664,STU095,Jamilu,Adeleke,Female,Abuja,Prof.,52,1972-08-04,jamilu.adeleke@gmail.com,+2347068186525,"97, Road in Ifako-Ijaye, Lagos State",Engineer,High Income,Secondary,Low,Eti-Osa
PAR029,6999410760733247825,STU317,Sunday,Yaro,Female,Ondo,Prof.,35,1989-08-14,sunday.yaro@gmail.com,+2347089520597,"58, Street in Ajeromi-Ifelodun, Lagos State",Engineer,Middle Income,Primary,High,Badagry
PAR029,6999410760733247825,STU274,Sunday,Yaro,Female,Delta,Mrs.,35,1989-08-19,sunday.yaro@gmail.com,+2347091917334,"58, Street in Ajeromi-Ifelodun, Lagos State",Civil Servant,Middle Income,Secondary,High,Badagry
PAR030,2956460285205156509,STU364,Felicia,Okoro,Female,Katsina,Dr.,40,1984-05-20,felicia.okoro@gmail.com,+2347047080140,"49, Road in Epe, Lagos State",Business,Low Income,Tertiary,High,Kosofe
PAR030,2956460285205156509,STU068,Felicia,Okoro,Male,Kano,Prof.,40,1984-08-18,felicia.okoro@gmail.com,+2347042255732,"49, Road in Epe, Lagos State",Civil Servant,Middle Income,Tertiary,Low,Kosofe
PAR030,2956460285205156509,STU385,Felicia,Okoro,Female,Delta,Mr.,40,1984-02-10,felicia.okoro@gmail.com,+2347039742165,"49, Road in Epe, Lagos State",Medical Professional,High Income,Primary,Medium,Kosofe
PAR030,2956460285205156509,STU542,Felicia,Okoro,Female,Rivers,Chief,40,1984-09-12,felicia.okoro@gmail.com,+2347067110154,"49, Road in Epe, Lagos State",Civil Servant,High Income,Secondary,Medium,Kosofe
PAR031,2112854073520196235,STU217,Gbenga,Osanyintipin,Male,Abia,Mr.,39,1985-12-18,gbenga.osanyintipin@gmail.com,+2347034850391,"50, Avenue in Surulere, Lagos State",Teacher,Low Income,Tertiary,Medium,Shomolu
PAR031,2112854073520196235,STU391,Gbenga,Osanyintipin,Female,Ogun,Chief,39,1985-05-04,gbenga.osanyintipin@gmail.com,+2347036054020,"50, Avenue in Surulere, Lagos State",Engineer,Low Income,Secondary,High,Shomolu
PAR031,2112854073520196235,STU227,Gbenga,Osanyintipin,Female,Abuja,Chief,39,1985-03-09,gbenga.osanyintipin@gmail.com,+2347016109013,"50, Avenue in Surulere, Lagos State",Farmer,High Income,Secondary,Low,Shomolu
PAR031,2112854073520196235,STU325,Gbenga,Osanyintipin,Male,Ekiti,Mr.,39,1985-01-19,gbenga.osanyintipin@gmail.com,+2347048163378,"50, Avenue in Surulere, Lagos State",Medical Professional,Middle Income,Secondary,Medium,Shomolu
PAR032,8947991492443343675,STU047,Abba,Sanbauna,Female,Adamawa,Mr.,31,1993-07-16,abba.sanbauna@gmail.com,+2347019943140,"80, Road in Ikorodu, Lagos State",Business,High Income,Tertiary,High,Shomolu
PAR032,8947991492443343675,STU578,Abba,Sanbauna,Male,Borno,Chief,31,1993-05-03,abba.sanbauna@gmail.com,+2347043311626,"80, Road in Ikorodu, Lagos State",Farmer,High Income,Secondary,Low,Shomolu
PAR033,9379473903576476271,STU399,Haladu,Abraham,Female,Zamfara,Chief,46,1978-07-10,haladu.abraham@gmail.com,+2347086320155,"23, Road in Eti-Osa, Lagos State",Business,Low Income,Tertiary,Low,Surulere
PAR033,9379473903576476271,STU278,Haladu,Abraham,Male,Jigawa,Mrs.,46,1978-05-22,haladu.abraham@gmail.com,+2347020896797,"23, Road in Eti-Osa, Lagos State",Teacher,Low Income,Primary,Low,Surulere
PAR034,7358326430825461226,STU215,Ayodele,Udo,Female,Sokoto,Mr.,30,1994-04-10,ayodele.udo@gmail.com,+2347047945817,"21, Avenue in Apapa, Lagos State",Civil Servant,Middle Income,Primary,Low,Ojo
PAR035,8414721166289619616,STU577,Daniel,Osakwe,Male,Cross River,Mr.,38,1986-09-08,daniel.osakwe@gmail.com,+2347096924061,"82, Road in Apapa, Lagos State",Teacher,Middle Income,Primary,High,Ibeju-Lekki
PAR035,8414721166289619616,STU465,Daniel,Osakwe,Male,Gombe,Dr.,38,1986-10-24,daniel.osakwe@gmail.com,+2347086397676,"82, Road in Apapa, Lagos State",Engineer,Middle Income,Primary,Medium,Ibeju-Lekki
PAR036,5980450877524341210,STU055,Agai,Ibrahim,Female,Delta,Mr.,42,1982-10-02,agai.ibrahim@gmail.com,+2347067985905,"45, Street in Surulere, Lagos State",Civil Servant,Middle Income,Tertiary,Medium,Shomolu
PAR036,5980450877524341210,STU160,Agai,Ibrahim,Male,Benue,Mrs.,42,1982-11-27,agai.ibrahim@gmail.com,+2347087201917,"45, Street in Surulere, Lagos State",Business,Low Income,Tertiary,Medium,Shomolu
PAR036,5980450877524341210,STU147,Agai,Ibrahim,Male,Taraba,Prof.,42,1982-09-21,agai.ibrahim@gmail.com,+2347069355025,"45, Street in Surulere, Lagos State",Engineer,Low Income,Tertiary,Medium,Shomolu
PAR037,4766346429259577811,STU362,Kenith,Sunday,Female,Abia,Mr.,32,1992-03-11,kenith.sunday@gmail.com,+2347065250068,"44, Road in Mushin, Lagos State",Civil Servant,Middle Income,Secondary,Low,Amuwo-Odofin
PAR037,4766346429259577811,STU517,Kenith,Sunday,Female,Osun,Mr.,32,1992-08-03,kenith.sunday@gmail.com,+2347052213778,"44, Road in Mushin, Lagos State",Engineer,Middle Income,Primary,Medium,Amuwo-Odofin
PAR037,4766346429259577811,STU573,Kenith,Sunday,Male,Ondo,Prof.,32,1992-07-02,kenith.sunday@gmail.com,+2347035176902,"44, Road in Mushin, Lagos State",Business,Middle Income,Tertiary,Medium,Amuwo-Odofin
PAR037,4766346429259577811,STU002,Kenith,Sunday,Female,Nasarawa,Mrs.,32,1992-05-18,kenith.sunday@gmail.com,+2347027584297,"44, Road in Mushin, Lagos State",Engineer,Middle Income,Tertiary,Medium,Amuwo-Odofin
PAR038,3207129537309823796,STU170,Musa,Igwe,Male,Zamfara,Chief,50,1974-01-18,musa.igwe@gmail.com,+2347064759583,"57, Street in Apapa, Lagos State",Farmer,Low Income,Primary,Medium,Epe
PAR039,9602206166108703100,STU394,Agai,Anjorin,Female,Lagos,Dr.,56,1968-07-27,agai.anjorin@gmail.com,+2347074759996,"65, Road in Ajeromi-Ifelodun, Lagos State",Medical Professional,Low Income,Secondary,Low,Ikeja
PAR040,7883333797293331254,STU336,Gerald,Kolapo,Male,Niger,Dr.,36,1988-07-11,gerald.kolapo@gmail.com,+2347078147397,"60, Street in Apapa, Lagos State",Engineer,Low Income,Secondary,Low,Epe
PAR040,7883333797293331254,STU071,Gerald,Kolapo,Female,Ekiti,Mrs.,36,1988-08-18,gerald.kolapo@gmail.com,+2347075007200,"60, Street in Apapa, Lagos State",Engineer,Middle Income,Tertiary,Low,Epe
PAR041,2740010999032723287,STU224,Emeke,Odugu,Male,Oyo,Prof.,59,1965-04-28,emeke.odugu@gmail.com,+2347065133300,"69, Road in Epe, Lagos State",Farmer,Middle Income,Tertiary,Medium,Lagos Island
PAR041,2740010999032723287,STU180,Emeke,Odugu,Female,Imo,Mrs.,59,1965-08-02,emeke.odugu@gmail.com,+2347026944487,"69, Road in Epe, Lagos State",Business,High Income,Secondary,High,Lagos Island
PAR041,2740010999032723287,STU398,Emeke,Odugu,Female,Plateau,Chief,59,1965-08-01,emeke.odugu@gmail.com,+2347029348212,"69, Road in Epe, Lagos State",Medical Professional,High Income,Primary,High,Lagos Island
PAR041,2740010999032723287,STU153,Emeke,Odugu,Female,Katsina,Dr.,59,1965-10-23,emeke.odugu@gmail.com,+2347063349308,"69, Road in Epe, Lagos State",Civil Servant,Low Income,Secondary,Low,Lagos Island
PAR042,5989991990055960144,STU067,Adamu,Abdulaziz,Male,Niger,Mrs.,40,1984-11-22,adamu.abdulaziz@gmail.com,+2347048571356,"1, Road in Surulere, Lagos State",Teacher,High Income,Primary,Medium,Amuwo-Odofin
PAR042,5989991990055960144,STU159,Adamu,Abdulaziz,Male,Plateau,Prof.,40,1984-03-23,adamu.abdulaziz@gmail.com,+2347050193656,"1, Road in Surulere, Lagos State",Farmer,Low Income,Secondary,High,Amuwo-Odofin
PAR042,5989991990055960144,STU058,Adamu,Abdulaziz,Female,Ebonyi,Dr.,40,1984-07-05,adamu.abdulaziz@gmail.com,+2347042775624,"1, Road in Surulere, Lagos State",Business,Middle Income,Tertiary,Low,Amuwo-Odofin
PAR042,5989991990055960144,STU145,Adamu,Abdulaziz,Male,Gombe,Mrs.,40,1984-02-20,adamu.abdulaziz@gmail.com,+2347061344226,"1, Road in Surulere, Lagos State",Business,High Income,Primary,Medium,Amuwo-Odofin
PAR043,3354973197921053057,STU039,Chinedu,Okeke,Male,Edo,Dr.,44,1980-11-18,chinedu.okeke@gmail.com,+2347031203129,"11, Avenue in Badagry, Lagos State",Farmer,Middle Income,Secondary,Low,Shomolu
PAR043,3354973197921053057,STU036,Chinedu,Okeke,Female,Cross River,Dr.,44,1980-08-28,chinedu.okeke@gmail.com,+2347050550084,"11, Avenue in Badagry, Lagos State",Teacher,Middle Income,Secondary,High,Shomolu
PAR044,3728941129069682685,STU545,Bola,Ishaya,Female,Kogi,Prof.,48,1976-05-01,bola.ishaya@gmail.com,+2347085957706,"76, Street in Eti-Osa, Lagos State",Civil Servant,High Income,Primary,Low,Lagos Mainland
PAR044,3728941129069682685,STU302,Bola,Ishaya,Female,Sokoto,Mrs.,48,1976-10-26,bola.ishaya@gmail.com,+2347057287718,"76, Street in Eti-Osa, Lagos State",Teacher,High Income,Primary,Low,Lagos Mainland
PAR045,1896179073998708285,STU524,Igbalumun,Isong,Male,Zamfara,Prof.,54,1970-01-19,igbalumun.isong@gmail.com,+2347058970845,"13, Avenue in Epe, Lagos State",Civil Servant,Low Income,Primary,Medium,Ikeja
PAR045,1896179073998708285,STU512,Igbalumun,Isong,Female,Bayelsa,Mrs.,54,1970-04-05,igbalumun.isong@gmail.com,+2347082398083,"13, Avenue in Epe, Lagos State",Engineer,High Income,Tertiary,Medium,Ikeja
PAR045,1896179073998708285,STU196,Igbalumun,Isong,Male,Katsina,Prof.,54,1970-05-24,igbalumun.isong@gmail.com,+2347055461591,"13, Avenue in Epe, Lagos State",Farmer,Middle Income,Primary,High,Ikeja
PAR046,8800615951855975792,STU525,Nnamdi,Ejugwu,Female,Benue,Prof.,51,1973-01-09,nnamdi.ejugwu@gmail.com,+2347082017516,"25, Road in Apapa, Lagos State",Farmer,Middle Income,Secondary,Low,Surulere
PAR046,8800615951855975792,STU221,Nnamdi,Ejugwu,Female,Imo,Dr.,51,1973-02-22,nnamdi.ejugwu@gmail.com,+2347041383044,"25, Road in Apapa, Lagos State",Medical Professional,Low Income,Tertiary,Low,Surulere
PAR047,1583074257396599799,STU438,Kitoye,Oluwole,Female,Zamfara,Prof.,49,1975-02-05,kitoye.oluwole@gmail.com,+2347016086345,"91, Road in Agege, Lagos State",Farmer,Middle Income,Secondary,High,Oshodi-Isolo
PAR047,1583074257396599799,STU569,Kitoye,Oluwole,Male,Kano,Chief,49,1975-03-13,kitoye.oluwole@gmail.com,+2347070887034,"91, Road in Agege, Lagos State",Engineer,High Income,Tertiary,Low,Oshodi-Isolo
PAR047,1583074257396599799,STU344,Kitoye,Oluwole,Female,Borno,Prof.,49,1975-11-04,kitoye.oluwole@gmail.com,+2347075679047,"91, Road in Agege, Lagos State",Business,Middle Income,Secondary,High,Oshodi-Isolo
PAR048,3177754714728797536,STU030,Anzaku,Udo,Female,Plateau,Dr.,44,1980-09-21,anzaku.udo@gmail.com,+2347058140388,"92, Avenue in Ajeromi-Ifelodun, Lagos State",Farmer,Middle Income,Secondary,High,Ajeromi-Ifelodun
PAR048,3177754714728797536,STU209,Anzaku,Udo,Male,Edo,Mr.,44,1980-11-07,anzaku.udo@gmail.com,+2347096128115,"92, Avenue in Ajeromi-Ifelodun, Lagos State",Civil Servant,High Income,Primary,High,Ajeromi-Ifelodun
PAR048,3177754714728797536,STU074,Anzaku,Udo,Female,Kano,Mrs.,44,1980-10-07,anzaku.udo@gmail.com,+2347019208698,"92, Avenue in Ajeromi-Ifelodun, Lagos State",Business,Low Income,Tertiary,High,Ajeromi-Ifelodun
PAR049,9305932751977352844,STU244,Clement,Ahmad,Male,Kebbi,Mrs.,54,1970-03-18,clement.ahmad@gmail.com,+2347043642236,"14, Street in Ojo, Lagos State",Teacher,Low Income,Tertiary,High,Ikeja
PAR049,9305932751977352844,STU164,Clement,Ahmad,Male,Abuja,Dr.,54,1970-04-19,clement.ahmad@gmail.com,+2347053455870,"14, Street in Ojo, Lagos State",Farmer,Low Income,Secondary,High,Ikeja
PAR050,7877548294262234857,STU552,Ijeoma,Ochoja,Male,Rivers,Prof.,43,1981-06-17,ijeoma.ochoja@gmail.com,+2347089680504,"24, Road in Surulere, Lagos State",Farmer,Middle Income,Tertiary,High,Badagry
PAR050,7877548294262234857,STU549,Ijeoma,Ochoja,Male,Ogun,Dr.,43,1981-08-21,ijeoma.ochoja@gmail.com,+2347014180968,"24, Road in Surulere, Lagos State",Farmer,Middle Income,Secondary,Medium,Badagry
