Teacher ID,LASRRA ID,First Name,Last Name,Gender,Age,Date of Birth,State of Origin,Years of Experience,Qualification,Home Address,Email,Phone Number,Residence Type,LGA of residence,Digital Literacy,Salary ₦,Teaching Level,Subject Specialization
TCH033,2622268277453879559,Umar,Omora,Female,54,1970-01-18,Kano,8,Bachelor's,"97, Street in Agege, Lagos State",umar.omora@laurelhigh.com,+2347027896471,Lives Outside School,Agege,Low,161449,Senior,Chemistry
TCH034,7859010798996329096,Funke,Udofia,Female,44,1980-08-09,Kano,18,Master's,"55, Road in Badagry, Lagos State",funke.udofia@laurelhigh.com,+2347075041510,Lives in School,Badagry,Medium,285197,Senior,Business Studies
TCH035,5982024916004857885,Kelechi,Ahmad,Male,40,1984-03-05,Kaduna,25,Master's,"31, Avenue in Eti-Osa, Lagos State",kelechi.ahmad@laurelhigh.com,+2347030509175,Lives in School,Eti-Osa,High,133809,Senior,English
TCH036,4875140014534318862,Tolu,Eze,Female,31,1993-10-23,Kogi,25,Bachelor's,"60, Avenue in Ikorodu, Lagos State",tolu.eze@laurelhigh.com,+2347010791358,Lives Outside School,Ikorodu,Medium,104220,Senior,English
TCH037,5019877386347550390,Esther,Saadu,Female,45,1979-01-13,Anambra,26,Master's,"78, Street in Ikorodu, Lagos State",esther.saadu@laurelhigh.com,+2347032151928,Lives Outside School,Ikorodu,High,107520,Junior,Business Studies
TCH038,2251606815389094146,Abiodun,Ishaya,Female,32,1992-03-02,Katsina,25,Bachelor's,"85, Street in Ibeju-Lekki, Lagos State",abiodun.ishaya@laurelhigh.com,+2347038408562,Lives Outside School,Ibeju-Lekki,Medium,218492,Senior,Economics
TCH039,5975262626817773000,Emmanuel,Ogunbanjo,Male,45,1979-06-08,Niger,3,NCE,"33, Street in Ojo, Lagos State",emmanuel.ogunbanjo@laurelhigh.com,+2347043189803,Lives in School,Ojo,High,55081,Junior,Music
TCH040,5289181443412493883,Funbi,Nnamani,Female,48,1976-06-06,Adamawa,11,Bachelor's,"86, Street in Amuwo-Odofin, Lagos State",funbi.nnamani@laurelhigh.com,+2347024508768,Lives in School,Amuwo-Odofin,Medium,298448,Senior,Business Studies
TCH041,3239890215664809258,Funbi,Kelechi,Male,52,1972-12-25,Zamfara,8,Master's,"10, Road in Mushin, Lagos State",funbi.kelechi@laurelhigh.com,+2347015512205,Lives Outside School,Mushin,Low,267729,Senior,Commerce
TCH042,8584663988840495165,Rashidat,Ezeji,Female,30,1994-02-14,Enugu,30,Master's,"83, Avenue in Badagry, Lagos State",rashidat.ezeji@laurelhigh.com,+2347030534124,Lives Outside School,Badagry,High,272711,Senior,Technical Drawing
TCH043,3475511928100514472,Emmanuel,Okolie,Female,56,1968-04-27,Benue,18,Bachelor's,"60, Avenue in Amuwo-Odofin, Lagos State",emmanuel.okolie@laurelhigh.com,+2347042730796,Lives Outside School,Amuwo-Odofin,Low,241634,Senior,English
TCH044,8358704698260836102,Musa,Igwe,Female,45,1979-06-09,Kebbi,1,Master's,"42, Street in Amuwo-Odofin, Lagos State",musa.igwe@laurelhigh.com,+2347035643159,Lives in School,Amuwo-Odofin,High,105605,Senior,English
TCH045,5133680581674694533,Kitoye,Osanyintipin,Male,50,1974-02-10,Kaduna,26,Master's,"89, Avenue in Oshodi-Isolo, Lagos State",kitoye.osanyintipin@laurelhigh.com,+2347042655866,Lives Outside School,Oshodi-Isolo,Low,236605,Senior,Mathematics
TCH046,4244879352968428827,Zayyanu,Sunday,Female,53,1971-05-10,Katsina,15,NCE,"45, Avenue in Badagry, Lagos State",zayyanu.sunday@laurelhigh.com,+2347035848226,Lives Outside School,Badagry,High,194281,Junior,Home Economics
TCH047,6504423032175630867,Amadi,Adegunju,Female,48,1976-02-27,Yobe,19,NCE,"36, Road in Amuwo-Odofin, Lagos State",amadi.adegunju@laurelhigh.com,+2347058436637,Lives in School,Amuwo-Odofin,Medium,249283,Junior,Technical Drawing
TCH048,9707689756299489828,Funbi,Nnamani,Male,47,1977-11-28,Ekiti,7,NCE,"6, Street in Shomolu, Lagos State",funbi.nnamani@laurelhigh.com,+2347087049595,Lives Outside School,Shomolu,Medium,126581,Senior,Chemistry
TCH049,2052268119148230100,Chukwunonso,Bello,Male,60,1964-07-16,Niger,4,NCE,"7, Avenue in Kosofe, Lagos State",chukwunonso.bello@laurelhigh.com,+2347030024960,Lives Outside School,Kosofe,High,275895,Junior,Agricultural Science
TCH050,8154510102639583690,Inimfon,Akinola,Female,55,1969-08-15,Zamfara,28,Bachelor's,"78, Road in Ojo, Lagos State",inimfon.akinola@laurelhigh.com,+2347086320155,Lives in School,Ojo,Low,212114,Junior,Christian Religious Studies
